Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[ktonCO2_eq/GW] [ktonCO2_eq/GWh] [ktonCO2_eq/(Mkmpass/h)] [ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];
Synthetic fuels;Synthetic fuels;Biomass to HVC;BIOMASS_TO_HVC;1743;52;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;0;0;0;20;1;0;1;0;0;
Storage;Electricity storage;Batteries;BATT_LI;302;0.466898841;61.3;15;1;0;1;0;0;
Storage;Electricity storage;Compressed air energy storage;CAES;38.938;3.1799;0;50;1;0;1;0;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Hydro dam storage;DAM_STORAGE;0;0;0;100;1;0;1;0;0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;8.33;50;1;0;1;0;0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;0;0;0;40;1;0;1;0;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;0;0;0;25;1;0;1;0;0;
Storage;Other storage;Gas storage;GAS_STORAGE;0;0;0;30;1;0;1;0;0;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;0;20;1;0;1;0;0;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Jet fuel storage;JET_FUEL_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LFO storage;LFO_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0;0;0;20;1;0;1;0;0;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0;0;0;20;1;0;1;0;0;
Storage;Other storage;Parabolic trough storage;PT_STORAGE;36.9568;0.3695;0;25;1;0;1;0;0;
Storage;Other storage;Solar tower storage;ST_STORAGE;19.099;0.1909;0;25;1;0;1;0;0;
Storage;Thermal storage;Space cooling storage;TS_COLD;0;0;0;20;1;0;1;0;0;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;0;
Heat;Cooking;Firewood stove;STOVE_WOOD;53.65514911;1.60965447;75;10;0.1875;0;1;0;0;
Heat;Cooking;LPG stove;STOVE_LPG;52.20521443;1.33859524;75;10;0.1875;0;1;0;0;
Heat;Cooking;NG stove;STOVE_NG;70.48592219;1.80733134;75;10;0.1875;0;1;0;0;
Heat;Cooking;Oil stove;STOVE_OIL;17.37818595;0.52134558;75;10;0.1875;0;1;0;0;
Heat;Cooking;Electric stove;STOVE_ELEC;20.60357726;0.51508943;75;10;0.1875;0;1;0;0;
Mobility;Passenger aviation;Plane;PLANE;1456.05;39.82;0;35;0.4999;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass fermentation to bioethanol;FERMENTATION_TO_BIOETHANOL;2554.01;116.0842435;0;25;0.92;0;1;0;0;
Synthetic fuels;Synthetic fuels;Esterification to biodiesel;ESTERIFICATION_TO_BIODIESEL;2554.01;116.0842435;0;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Diesel engine (industry);IND_BOILER_DIESEL;171.6964771;4.29241193;516.55;25;0.9;0;1;0;0;
Heat;Heat high temperature;LPG burner (industry);IND_BOILER_LPG;58.89;1.179885757;12.32;17;0.9443;0;1;0;0;
Storage;Other storage;LPG storage;LPG_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LNG storage;LNG_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Mobility;Passenger private;CAR_FG_PRIVATE;CAR_FG_PRIVATE;329.1616074;19.74969644;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_FG_PRIVATE;BUS_FG_PRIVATE;230.6547743;11.53273872;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_FG_PRIVATE;PICKUP_TRUCK_FG_PRIVATE;567.5813663;34.05488198;0;10;0.01679167;0;1;0;0;
Mobility;Passenger private;SUV_FG_PRIVATE;SUV_FG_PRIVATE;499.9697929;29.99818757;0;10;0.01927083;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_FG_PRIVATE;MOTORCYCLE_FG_PRIVATE;46.29629823;2.77777789;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_FG_PUBLIC;CAR_FG_PUBLIC;329.1616074;19.74969644;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_FG_PUBLIC;BUS_FG_PUBLIC;230.6547743;11.53273872;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_FG_PUBLIC;PICKUP_TRUCK_FG_PUBLIC;567.5813663;34.05488198;0;10;0.01679167;0;1;0;0;
Mobility;Passenger public;SUV_FG_PUBLIC;SUV_FG_PUBLIC;499.9697929;29.99818757;0;10;0.01927083;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_FG_PUBLIC;MOTORCYCLE_FG_PUBLIC;46.29629823;2.77777789;0;10;0.01989583;0;1;0;0;
Mobility;Passenger private;CAR_GASOLINE_PRIVATE;CAR_GASOLINE_PRIVATE;318.8003729;19.12802238;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_GASOLINE_PRIVATE;BUS_GASOLINE_PRIVATE;221.8953478;11.09476739;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_GASOLINE_PRIVATE;PICKUP_TRUCK_GASOLINE_PRIVATE;560.1520677;33.60912406;0;10;0.01679167;0;1;0;0;
Mobility;Passenger private;SUV_GASOLINE_PRIVATE;SUV_GASOLINE_PRIVATE;491.7090498;29.50254299;0;10;0.01927083;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_GASOLINE_PRIVATE;MOTORCYCLE_GASOLINE_PRIVATE;28.14088716;1.68845323;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_GASOLINE_PUBLIC;CAR_GASOLINE_PUBLIC;318.8003729;19.12802238;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_GASOLINE_PUBLIC;BUS_GASOLINE_PUBLIC;221.8953478;11.09476739;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_GASOLINE_PUBLIC;PICKUP_TRUCK_GASOLINE_PUBLIC;560.1520677;33.60912406;0;10;0.01679167;0;1;0;0;
Mobility;Passenger public;SUV_GASOLINE_PUBLIC;SUV_GASOLINE_PUBLIC;491.7090498;29.50254299;0;10;0.01927083;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_GASOLINE_PUBLIC;MOTORCYCLE_GASOLINE_PUBLIC;28.14088716;1.68845323;0;10;0.01989583;0;1;0;0;
Mobility;Passenger private;CAR_DIESEL_PRIVATE;CAR_DIESEL_PRIVATE;318.7935223;19.12761134;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_DIESEL_PRIVATE;BUS_DIESEL_PRIVATE;221.8953478;11.09476739;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_DIESEL_PRIVATE;PICKUP_TRUCK_DIESEL_PRIVATE;560.1400307;33.60840184;0;10;0.01679167;0;1;0;0;
Mobility;Passenger private;SUV_DIESEL_PRIVATE;SUV_DIESEL_PRIVATE;491.6984835;29.50190901;0;10;0.01927083;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_DIESEL_PRIVATE;MOTORCYCLE_DIESEL_PRIVATE;28.14088716;1.68845323;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_DIESEL_PUBLIC;CAR_DIESEL_PUBLIC;318.7935223;19.12761134;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_DIESEL_PUBLIC;BUS_DIESEL_PUBLIC;221.8953478;11.09476739;0;15;0.48372222;0;1;0;0;
